Format Version,1.24,Take Name,Take 2025-10-06 09.39.45 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.39.46.635 AM,Capture Start Frame,91901,Total Frames in Take,911,Total Exported Frames,911,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 2005,Unlabeled 2005,Unlabeled 2005,Unlabeled 2006,Unlabeled 2006,Unlabeled 2006,Unlabeled 2007,Unlabeled 2007,Unlabeled 2007,Unlabeled 2008,Unlabeled 2008,Unlabeled 2008,Unlabeled 2009,Unlabeled 2009,Unlabeled 2009,Unlabeled 2010,Unlabeled 2010,Unlabeled 2010,Unlabeled 2011,Unlabeled 2011,Unlabeled 2011,Unlabeled 2012,Unlabeled 2012,Unlabeled 2012,Unlabeled 2013,Unlabeled 2013,Unlabeled 2013,Unlabeled 2015,Unlabeled 2015,Unlabeled 2015,Unlabeled 2016,Unlabeled 2016,Unlabeled 2016,Unlabeled 2017,Unlabeled 2017,Unlabeled 2017,Unlabeled 2018,Unlabeled 2018,Unlabeled 2018,Unlabeled 2019,Unlabeled 2019,Unlabeled 2019,Unlabeled 2020,Unlabeled 2020,Unlabeled 2020,Unlabeled 2021,Unlabeled 2021,Unlabeled 2021,Unlabeled 2024,Unlabeled 2024,Unlabeled 2024,Unlabeled 2025,Unlabeled 2025,Unlabeled 2025,Unlabeled 2074,Unlabeled 2074,Unlabeled 2074,Unlabeled 2082,Unlabeled 2082,Unlabeled 2082,Unlabeled 2083,Unlabeled 2083,Unlabeled 2083,Unlabeled 2084,Unlabeled 2084,Unlabeled 2084,Unlabeled 2086,Unlabeled 2086,Unlabeled 2086,Unlabeled 2088,Unlabeled 2088,Unlabeled 2088,Unlabeled 2089,Unlabeled 2089,Unlabeled 2089,Unlabeled 2090,Unlabeled 2090,Unlabeled 2090,Unlabeled 2091,Unlabeled 2091,Unlabeled 2091,Unlabeled 2092,Unlabeled 2092,Unlabeled 2092,Unlabeled 2093,Unlabeled 2093,Unlabeled 2093,Unlabeled 2094,Unlabeled 2094,Unlabeled 2094,Unlabeled 2095,Unlabeled 2095,Unlabeled 2095,Unlabeled 2096,Unlabeled 2096,Unlabeled 2096,Unlabeled 2099,Unlabeled 2099,Unlabeled 2099,Unlabeled 2100,Unlabeled 2100,Unlabeled 2100,Unlabeled 2108,Unlabeled 2108,Unlabeled 2108,Unlabeled 2113,Unlabeled 2113,Unlabeled 2113,Unlabeled 2116,Unlabeled 2116,Unlabeled 2116,Unlabeled 2117,Unlabeled 2117,Unlabeled 2117,Unlabeled 2118,Unlabeled 2118,Unlabeled 2118,Unlabeled 2119,Unlabeled 2119,Unlabeled 2119,Unlabeled 2120,Unlabeled 2120,Unlabeled 2120,Unlabeled 2121,Unlabeled 2121,Unlabeled 2121,Unlabeled 2124,Unlabeled 2124,Unlabeled 2124,Unlabeled 2126,Unlabeled 2126,Unlabeled 2126,Unlabeled 2127,Unlabeled 2127,Unlabeled 2127,Unlabeled 2128,Unlabeled 2128,Unlabeled 2128,Unlabeled 2129,Unlabeled 2129,Unlabeled 2129,Unlabeled 2130,Unlabeled 2130,Unlabeled 2130
,ID,"D15399176C4A28E11F0","D15399176C4A28E11F0","D15399176C4A28E11F0","D4B399176C4A28E11F0","D4B399176C4A28E11F0","D4B399176C4A28E11F0","D6C399176C4A28E11F0","D6C399176C4A28E11F0","D6C399176C4A28E11F0","D7E399176C4A28E11F0","D7E399176C4A28E11F0","D7E399176C4A28E11F0","D89399176C4A28E11F0","D89399176C4A28E11F0","D89399176C4A28E11F0","D8B399176C4A28E11F0","D8B399176C4A28E11F0","D8B399176C4A28E11F0","D8C399176C4A28E11F0","D8C399176C4A28E11F0","D8C399176C4A28E11F0","D8F399176C4A28E11F0","D8F399176C4A28E11F0","D8F399176C4A28E11F0","D90399176C4A28E11F0","D90399176C4A28E11F0","D90399176C4A28E11F0","D92399176C4A28E11F0","D92399176C4A28E11F0","D92399176C4A28E11F0","D93399176C4A28E11F0","D93399176C4A28E11F0","D93399176C4A28E11F0","D94399176C4A28E11F0","D94399176C4A28E11F0","D94399176C4A28E11F0","D95399176C4A28E11F0","D95399176C4A28E11F0","D95399176C4A28E11F0","D96399176C4A28E11F0","D96399176C4A28E11F0","D96399176C4A28E11F0","D97399176C4A28E11F0","D97399176C4A28E11F0","D97399176C4A28E11F0","D98399176C4A28E11F0","D98399176C4A28E11F0","D98399176C4A28E11F0","D9B399176C4A28E11F0","D9B399176C4A28E11F0","D9B399176C4A28E11F0","D9C399176C4A28E11F0","D9C399176C4A28E11F0","D9C399176C4A28E11F0","DD2399176C4A28E11F0","DD2399176C4A28E11F0","DD2399176C4A28E11F0","DDA399176C4A28E11F0","DDA399176C4A28E11F0","DDA399176C4A28E11F0","DDB399176C4A28E11F0","DDB399176C4A28E11F0","DDB399176C4A28E11F0","DDC399176C4A28E11F0","DDC399176C4A28E11F0","DDC399176C4A28E11F0","DDE399176C4A28E11F0","DDE399176C4A28E11F0","DDE399176C4A28E11F0","DE0399176C4A28E11F0","DE0399176C4A28E11F0","DE0399176C4A28E11F0","DE1399176C4A28E11F0","DE1399176C4A28E11F0","DE1399176C4A28E11F0","DE2399176C4A28E11F0","DE2399176C4A28E11F0","DE2399176C4A28E11F0","DE3399176C4A28E11F0","DE3399176C4A28E11F0","DE3399176C4A28E11F0","DE4399176C4A28E11F0","DE4399176C4A28E11F0","DE4399176C4A28E11F0","DE5399176C4A28E11F0","DE5399176C4A28E11F0","DE5399176C4A28E11F0","DE7399176C4A28E11F0","DE7399176C4A28E11F0","DE7399176C4A28E11F0","DE9399176C4A28E11F0","DE9399176C4A28E11F0","DE9399176C4A28E11F0","DEB399176C4A28E11F0","DEB399176C4A28E11F0","DEB399176C4A28E11F0","DEE399176C4A28E11F0","DEE399176C4A28E11F0","DEE399176C4A28E11F0","DEF399176C4A28E11F0","DEF399176C4A28E11F0","DEF399176C4A28E11F0","DF7399176C4A28E11F0","DF7399176C4A28E11F0","DF7399176C4A28E11F0","DFC399176C4A28E11F0","DFC399176C4A28E11F0","DFC399176C4A28E11F0","E00399176C4A28E11F0","E00399176C4A28E11F0","E00399176C4A28E11F0","E01399176C4A28E11F0","E01399176C4A28E11F0","E01399176C4A28E11F0","E02399176C4A28E11F0","E02399176C4A28E11F0","E02399176C4A28E11F0","E03399176C4A28E11F0","E03399176C4A28E11F0","E03399176C4A28E11F0","E04399176C4A28E11F0","E04399176C4A28E11F0","E04399176C4A28E11F0","E05399176C4A28E11F0","E05399176C4A28E11F0","E05399176C4A28E11F0","E09399176C4A28E11F0","E09399176C4A28E11F0","E09399176C4A28E11F0","E0B399176C4A28E11F0","E0B399176C4A28E11F0","E0B399176C4A28E11F0","E0C399176C4A28E11F0","E0C399176C4A28E11F0","E0C399176C4A28E11F0","E0D399176C4A28E11F0","E0D399176C4A28E11F0","E0D399176C4A28E11F0","E0E399176C4A28E11F0","E0E399176C4A28E11F0","E0E399176C4A28E11F0","E10399176C4A28E11F0","E10399176C4A28E11F0","E10399176C4A28E11F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,1467.457764,604.118469,-6402.684082,2478.827637,-462.676849,-5910.851074,980.184692,-83.845238,5812.319824,-2631.175781,149.616104,-6916.389160,-2107.603760,900.486694,-6183.065918,-217.652252,-565.022217,-5979.287598,-2753.077637,1006.875305,3897.899414,-419.166107,-593.121765,-6268.466797,-222.545563,-546.749634,-5952.608398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,1467.173340,604.120728,-6402.674805,2478.779785,-462.494019,-5910.766113,980.176575,-83.874031,5812.333984,-2631.208008,149.584900,-6916.351562,-2108.694580,897.379700,-6181.202148,-214.527451,-564.459106,-5977.579590,-2757.561768,1007.467041,3886.469971,-419.088928,-593.056091,-6268.390137,-218.815918,-546.661804,-5950.847168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,1467.321899,604.244507,-6402.688477,2478.746094,-462.475128,-5910.758789,980.217529,-83.866882,5812.345703,-2630.988525,149.689957,-6916.328125,-2109.749512,894.318420,-6179.207031,-211.660675,-564.314453,-5975.760742,-2760.846924,1009.292725,3877.121094,-419.068909,-593.063599,-6268.362305,-214.821243,-546.230347,-5949.084961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,1467.253662,604.383667,-6402.608398,2478.845703,-462.478302,-5910.787109,980.229065,-83.850304,5812.347168,-2630.966553,149.725861,-6916.331055,-2110.881348,891.421204,-6177.119141,-208.459198,-563.940247,-5974.233398,-2765.279053,1009.744263,3866.505371,-419.176300,-593.169312,-6268.371582,-211.894440,-546.850220,-5947.479492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,1467.169434,604.502014,-6402.515137,2478.787842,-462.355621,-5910.797852,980.255615,-83.842918,5812.305176,-2630.914307,149.641891,-6916.333496,-2111.591064,888.176270,-6174.938965,-205.856689,-564.585388,-5972.521973,-2769.949219,1009.832886,3856.038818,-419.196808,-593.233215,-6268.329590,-208.776093,-547.202393,-5945.838867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,1467.131348,604.641235,-6402.450684,2478.797852,-462.623138,-5910.846680,980.291016,-83.850174,5812.286621,-2630.845947,149.583084,-6916.343750,-2112.616211,885.172913,-6172.876465,-202.806351,-565.009888,-5971.116211,-2773.906250,1010.656250,3846.713135,-419.074066,-593.197388,-6268.280273,-204.890640,-546.996643,-5944.426758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
