Format Version,1.24,Take Name,Take 2025-10-06 09.41.01 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.41.02.331 AM,Capture Start Frame,100985,Total Frames in Take,668,Total Exported Frames,668,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 2404,Unlabeled 2404,Unlabeled 2404,Unlabeled 2405,Unlabeled 2405,Unlabeled 2405,Unlabeled 2406,Unlabeled 2406,Unlabeled 2406,Unlabeled 2407,Unlabeled 2407,Unlabeled 2407,Unlabeled 2408,Unlabeled 2408,Unlabeled 2408,Unlabeled 2409,Unlabeled 2409,Unlabeled 2409,Unlabeled 2410,Unlabeled 2410,Unlabeled 2410,Unlabeled 2411,Unlabeled 2411,Unlabeled 2411,Unlabeled 2412,Unlabeled 2412,Unlabeled 2412,Unlabeled 2413,Unlabeled 2413,Unlabeled 2413,Unlabeled 2414,Unlabeled 2414,Unlabeled 2414,Unlabeled 2415,Unlabeled 2415,Unlabeled 2415,Unlabeled 2416,Unlabeled 2416,Unlabeled 2416,Unlabeled 2417,Unlabeled 2417,Unlabeled 2417,Unlabeled 2418,Unlabeled 2418,Unlabeled 2418,Unlabeled 2419,Unlabeled 2419,Unlabeled 2419,Unlabeled 2420,Unlabeled 2420,Unlabeled 2420,Unlabeled 2421,Unlabeled 2421,Unlabeled 2421,Unlabeled 2422,Unlabeled 2422,Unlabeled 2422,Unlabeled 2423,Unlabeled 2423,Unlabeled 2423,Unlabeled 2424,Unlabeled 2424,Unlabeled 2424,Unlabeled 2425,Unlabeled 2425,Unlabeled 2425,Unlabeled 2426,Unlabeled 2426,Unlabeled 2426,Unlabeled 2427,Unlabeled 2427,Unlabeled 2427,Unlabeled 2428,Unlabeled 2428,Unlabeled 2428,Unlabeled 2429,Unlabeled 2429,Unlabeled 2429,Unlabeled 2430,Unlabeled 2430,Unlabeled 2430,Unlabeled 2431,Unlabeled 2431,Unlabeled 2431,Unlabeled 2432,Unlabeled 2432,Unlabeled 2432,Unlabeled 2433,Unlabeled 2433,Unlabeled 2433,Unlabeled 2434,Unlabeled 2434,Unlabeled 2434,Unlabeled 2435,Unlabeled 2435,Unlabeled 2435,Unlabeled 2436,Unlabeled 2436,Unlabeled 2436,Unlabeled 2437,Unlabeled 2437,Unlabeled 2437,Unlabeled 2438,Unlabeled 2438,Unlabeled 2438,Unlabeled 2439,Unlabeled 2439,Unlabeled 2439,Unlabeled 2440,Unlabeled 2440,Unlabeled 2440,Unlabeled 2441,Unlabeled 2441,Unlabeled 2441,Unlabeled 2442,Unlabeled 2442,Unlabeled 2442,Unlabeled 2443,Unlabeled 2443,Unlabeled 2443,Unlabeled 2478,Unlabeled 2478,Unlabeled 2478,Unlabeled 2487,Unlabeled 2487,Unlabeled 2487,Unlabeled 2488,Unlabeled 2488,Unlabeled 2488,Unlabeled 2489,Unlabeled 2489,Unlabeled 2489,Unlabeled 2491,Unlabeled 2491,Unlabeled 2491,Unlabeled 2494,Unlabeled 2494,Unlabeled 2494,Unlabeled 2495,Unlabeled 2495,Unlabeled 2495
,ID,"D15399176C4A28E11F0","D15399176C4A28E11F0","D15399176C4A28E11F0","D6C399176C4A28E11F0","D6C399176C4A28E11F0","D6C399176C4A28E11F0","E9C399176C4A28E11F0","E9C399176C4A28E11F0","E9C399176C4A28E11F0","EBC399176C4A28E11F0","EBC399176C4A28E11F0","EBC399176C4A28E11F0","1008399176C4A28E11F0","1008399176C4A28E11F0","1008399176C4A28E11F0","10B4399176C4A28E11F0","10B4399176C4A28E11F0","10B4399176C4A28E11F0","10B6399176C4A28E11F0","10B6399176C4A28E11F0","10B6399176C4A28E11F0","10B7399176C4A28E11F0","10B7399176C4A28E11F0","10B7399176C4A28E11F0","10B8399176C4A28E11F0","10B8399176C4A28E11F0","10B8399176C4A28E11F0","10B9399176C4A28E11F0","10B9399176C4A28E11F0","10B9399176C4A28E11F0","10BA399176C4A28E11F0","10BA399176C4A28E11F0","10BA399176C4A28E11F0","10BB399176C4A28E11F0","10BB399176C4A28E11F0","10BB399176C4A28E11F0","10BC399176C4A28E11F0","10BC399176C4A28E11F0","10BC399176C4A28E11F0","10BD399176C4A28E11F0","10BD399176C4A28E11F0","10BD399176C4A28E11F0","10BE399176C4A28E11F0","10BE399176C4A28E11F0","10BE399176C4A28E11F0","10BF399176C4A28E11F0","10BF399176C4A28E11F0","10BF399176C4A28E11F0","10C0399176C4A28E11F0","10C0399176C4A28E11F0","10C0399176C4A28E11F0","10C1399176C4A28E11F0","10C1399176C4A28E11F0","10C1399176C4A28E11F0","10C2399176C4A28E11F0","10C2399176C4A28E11F0","10C2399176C4A28E11F0","10C3399176C4A28E11F0","10C3399176C4A28E11F0","10C3399176C4A28E11F0","10C4399176C4A28E11F0","10C4399176C4A28E11F0","10C4399176C4A28E11F0","10C5399176C4A28E11F0","10C5399176C4A28E11F0","10C5399176C4A28E11F0","10C6399176C4A28E11F0","10C6399176C4A28E11F0","10C6399176C4A28E11F0","10C7399176C4A28E11F0","10C7399176C4A28E11F0","10C7399176C4A28E11F0","10C8399176C4A28E11F0","10C8399176C4A28E11F0","10C8399176C4A28E11F0","10C9399176C4A28E11F0","10C9399176C4A28E11F0","10C9399176C4A28E11F0","10CA399176C4A28E11F0","10CA399176C4A28E11F0","10CA399176C4A28E11F0","10CB399176C4A28E11F0","10CB399176C4A28E11F0","10CB399176C4A28E11F0","10CC399176C4A28E11F0","10CC399176C4A28E11F0","10CC399176C4A28E11F0","10CD399176C4A28E11F0","10CD399176C4A28E11F0","10CD399176C4A28E11F0","10CE399176C4A28E11F0","10CE399176C4A28E11F0","10CE399176C4A28E11F0","10CF399176C4A28E11F0","10CF399176C4A28E11F0","10CF399176C4A28E11F0","10D0399176C4A28E11F0","10D0399176C4A28E11F0","10D0399176C4A28E11F0","10D1399176C4A28E11F0","10D1399176C4A28E11F0","10D1399176C4A28E11F0","10D2399176C4A28E11F0","10D2399176C4A28E11F0","10D2399176C4A28E11F0","10D3399176C4A28E11F0","10D3399176C4A28E11F0","10D3399176C4A28E11F0","10D4399176C4A28E11F0","10D4399176C4A28E11F0","10D4399176C4A28E11F0","10D5399176C4A28E11F0","10D5399176C4A28E11F0","10D5399176C4A28E11F0","10D6399176C4A28E11F0","10D6399176C4A28E11F0","10D6399176C4A28E11F0","10D7399176C4A28E11F0","10D7399176C4A28E11F0","10D7399176C4A28E11F0","10FC399176C4A28E11F0","10FC399176C4A28E11F0","10FC399176C4A28E11F0","1107399176C4A28E11F0","1107399176C4A28E11F0","1107399176C4A28E11F0","1108399176C4A28E11F0","1108399176C4A28E11F0","1108399176C4A28E11F0","1109399176C4A28E11F0","1109399176C4A28E11F0","1109399176C4A28E11F0","110B399176C4A28E11F0","110B399176C4A28E11F0","110B399176C4A28E11F0","110E399176C4A28E11F0","110E399176C4A28E11F0","110E399176C4A28E11F0","1110399176C4A28E11F0","1110399176C4A28E11F0","1110399176C4A28E11F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,1695.314209,596.118774,-6574.395020,980.170166,-83.856987,5812.326660,2514.924805,-463.359619,-5905.341797,-492.034882,600.714478,-5311.804688,2479.084473,-461.692078,-5910.014648,-1622.575684,876.537720,-5247.027832,-503.990936,565.940247,-5322.219238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,1695.248413,595.997253,-6574.514648,980.158997,-83.847046,5812.312012,2514.985352,-463.332642,-5905.340820,-494.448334,596.993103,-5315.026367,2479.125244,-461.735321,-5910.065918,-1623.786743,879.288513,-5242.552246,-507.353241,562.758484,-5325.973145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,1695.196777,595.882568,-6574.631348,980.142456,-83.832230,5812.301758,2515.014160,-463.319061,-5905.365234,-497.518768,593.675781,-5317.768066,2479.145508,-461.711365,-5910.041016,-1623.993042,882.243774,-5237.877930,-509.924286,559.192505,-5329.159180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,1695.136475,595.724365,-6574.694336,980.157166,-83.851471,5812.300781,2514.947021,-463.387451,-5905.334961,-500.390350,590.297791,-5320.589844,2479.151611,-461.682587,-5910.063477,-1623.566772,884.397339,-5234.026367,-512.536316,555.753601,-5332.236816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,1695.383911,595.501404,-6574.850098,980.164612,-83.859070,5812.296875,2514.944336,-463.361755,-5905.318359,-503.144989,587.000000,-5323.308105,2479.266357,-461.716797,-5910.122070,-1622.866577,886.112183,-5230.009766,-512.274048,553.939880,-5336.795898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,1695.412109,595.456238,-6574.862305,980.163757,-83.866936,5812.310059,2514.916016,-463.339417,-5905.320801,-506.528809,583.978638,-5325.775391,2479.264648,-461.729523,-5910.130859,-1622.018799,888.096558,-5226.261230,-513.531128,551.008850,-5340.538086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
