Format Version,1.24,Take Name,Take 2025-10-06 09.48.31 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.48.31.906 AM,Capture Start Frame,37805,Total Frames in Take,719,Total Exported Frames,719,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090,Unlabeled 1142,Unlabeled 1142,Unlabeled 1142,Unlabeled 1149,Unlabeled 1149,Unlabeled 1149,Unlabeled 1158,Unlabeled 1158,Unlabeled 1158,Unlabeled 1163,Unlabeled 1163,Unlabeled 1163,Unlabeled 1196,Unlabeled 1196,Unlabeled 1196,Unlabeled 1259,Unlabeled 1259,Unlabeled 1259,Unlabeled 1260,Unlabeled 1260,Unlabeled 1260,Unlabeled 1284,Unlabeled 1284,Unlabeled 1284,Unlabeled 1285,Unlabeled 1285,Unlabeled 1285,Unlabeled 1287,Unlabeled 1287,Unlabeled 1287,Unlabeled 1291,Unlabeled 1291,Unlabeled 1291,Unlabeled 1295,Unlabeled 1295,Unlabeled 1295,Unlabeled 1297,Unlabeled 1297,Unlabeled 1297,Unlabeled 1382,Unlabeled 1382,Unlabeled 1382,Unlabeled 1428,Unlabeled 1428,Unlabeled 1428,Unlabeled 1430,Unlabeled 1430,Unlabeled 1430,Unlabeled 1431,Unlabeled 1431,Unlabeled 1431,Unlabeled 1432,Unlabeled 1432,Unlabeled 1432,Unlabeled 1433,Unlabeled 1433,Unlabeled 1433,Unlabeled 1434,Unlabeled 1434,Unlabeled 1434,Unlabeled 1435,Unlabeled 1435,Unlabeled 1435,Unlabeled 1436,Unlabeled 1436,Unlabeled 1436,Unlabeled 1437,Unlabeled 1437,Unlabeled 1437,Unlabeled 1438,Unlabeled 1438,Unlabeled 1438,Unlabeled 1439,Unlabeled 1439,Unlabeled 1439,Unlabeled 1441,Unlabeled 1441,Unlabeled 1441,Unlabeled 1442,Unlabeled 1442,Unlabeled 1442,Unlabeled 1443,Unlabeled 1443,Unlabeled 1443
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","FE87F5C26D7A29011F0","FE87F5C26D7A29011F0","FE87F5C26D7A29011F0","10617F5C26D7A29011F0","10617F5C26D7A29011F0","10617F5C26D7A29011F0","10907F5C26D7A29011F0","10907F5C26D7A29011F0","10907F5C26D7A29011F0","10957F5C26D7A29011F0","10957F5C26D7A29011F0","10957F5C26D7A29011F0","10967F5C26D7A29011F0","10967F5C26D7A29011F0","10967F5C26D7A29011F0","10BB7F5C26D7A29011F0","10BB7F5C26D7A29011F0","10BB7F5C26D7A29011F0","10F17F5C26D7A29011F0","10F17F5C26D7A29011F0","10F17F5C26D7A29011F0","10F87F5C26D7A29011F0","10F87F5C26D7A29011F0","10F87F5C26D7A29011F0","11017F5C26D7A29011F0","11017F5C26D7A29011F0","11017F5C26D7A29011F0","11067F5C26D7A29011F0","11067F5C26D7A29011F0","11067F5C26D7A29011F0","11287F5C26D7A29011F0","11287F5C26D7A29011F0","11287F5C26D7A29011F0","11677F5C26D7A29011F0","11677F5C26D7A29011F0","11677F5C26D7A29011F0","11687F5C26D7A29011F0","11687F5C26D7A29011F0","11687F5C26D7A29011F0","11817F5C26D7A29011F0","11817F5C26D7A29011F0","11817F5C26D7A29011F0","11837F5C26D7A29011F0","11837F5C26D7A29011F0","11837F5C26D7A29011F0","11857F5C26D7A29011F0","11857F5C26D7A29011F0","11857F5C26D7A29011F0","11897F5C26D7A29011F0","11897F5C26D7A29011F0","11897F5C26D7A29011F0","118E7F5C26D7A29011F0","118E7F5C26D7A29011F0","118E7F5C26D7A29011F0","11907F5C26D7A29011F0","11907F5C26D7A29011F0","11907F5C26D7A29011F0","11E97F5C26D7A29011F0","11E97F5C26D7A29011F0","11E97F5C26D7A29011F0","121F7F5C26D7A29011F0","121F7F5C26D7A29011F0","121F7F5C26D7A29011F0","12227F5C26D7A29011F0","12227F5C26D7A29011F0","12227F5C26D7A29011F0","12277F5C26D7A29011F0","12277F5C26D7A29011F0","12277F5C26D7A29011F0","12287F5C26D7A29011F0","12287F5C26D7A29011F0","12287F5C26D7A29011F0","122B7F5C26D7A29011F0","122B7F5C26D7A29011F0","122B7F5C26D7A29011F0","12307F5C26D7A29011F0","12307F5C26D7A29011F0","12307F5C26D7A29011F0","12347F5C26D7A29011F0","12347F5C26D7A29011F0","12347F5C26D7A29011F0","12387F5C26D7A29011F0","12387F5C26D7A29011F0","12387F5C26D7A29011F0","12397F5C26D7A29011F0","12397F5C26D7A29011F0","12397F5C26D7A29011F0","123A7F5C26D7A29011F0","123A7F5C26D7A29011F0","123A7F5C26D7A29011F0","123E7F5C26D7A29011F0","123E7F5C26D7A29011F0","123E7F5C26D7A29011F0","12407F5C26D7A29011F0","12407F5C26D7A29011F0","12407F5C26D7A29011F0","12467F5C26D7A29011F0","12467F5C26D7A29011F0","12467F5C26D7A29011F0","124A7F5C26D7A29011F0","124A7F5C26D7A29011F0","124A7F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,960.062988,-74.157372,5791.365723,-420.373840,1002.396240,-5244.628418,1476.041382,-522.126648,-6242.219238,-1598.085449,959.490479,-5297.707031,-431.863861,975.782227,-5245.941406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,960.199036,-74.012238,5791.225098,-420.796600,1002.358765,-5244.729004,1476.101074,-522.124573,-6242.198730,-1598.005005,958.531372,-5298.305664,-431.811127,975.462402,-5246.129883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,960.190247,-74.018394,5791.161133,-420.940460,1002.261414,-5244.806641,1476.032349,-522.171082,-6242.212402,-1598.544312,957.872803,-5298.651855,-431.772491,975.249939,-5246.293945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,960.185974,-74.018204,5791.152832,-421.237946,1002.308350,-5244.944336,1476.009766,-522.157349,-6242.200684,-1598.622803,956.803101,-5298.441895,-431.791107,975.067200,-5246.431152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,960.752136,-73.420364,5791.482910,-421.471375,1002.116699,-5245.382324,1476.000854,-522.164246,-6242.229004,-1598.142212,955.751038,-5297.685547,-432.473114,975.140625,-5246.485352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,960.763916,-73.421158,5791.508789,-421.985229,1001.920349,-5245.647949,1475.953369,-522.093323,-6242.254395,-1598.094849,955.134094,-5296.909180,-432.606140,974.969299,-5246.627441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
