Format Version,1.24,Take Name,Take 2025-10-06 09.57.28 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.57.29.035 AM,Capture Start Frame,102263,Total Frames in Take,1340,Total Exported Frames,1340,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 2585,Unlabeled 2585,Unlabeled 2585,Unlabeled 2586,Unlabeled 2586,Unlabeled 2586,Unlabeled 2587,Unlabeled 2587,Unlabeled 2587,Unlabeled 2588,Unlabeled 2588,Unlabeled 2588,Unlabeled 2589,Unlabeled 2589,Unlabeled 2589,Unlabeled 2590,Unlabeled 2590,Unlabeled 2590,Unlabeled 2591,Unlabeled 2591,Unlabeled 2591,Unlabeled 2595,Unlabeled 2595,Unlabeled 2595,Unlabeled 2602,Unlabeled 2602,Unlabeled 2602,Unlabeled 2604,Unlabeled 2604,Unlabeled 2604,Unlabeled 2688,Unlabeled 2688,Unlabeled 2688,Unlabeled 2696,Unlabeled 2696,Unlabeled 2696,Unlabeled 2761,Unlabeled 2761,Unlabeled 2761,Unlabeled 2777,Unlabeled 2777,Unlabeled 2777,Unlabeled 2787,Unlabeled 2787,Unlabeled 2787,Unlabeled 2798,Unlabeled 2798,Unlabeled 2798,Unlabeled 2806,Unlabeled 2806,Unlabeled 2806,Unlabeled 2807,Unlabeled 2807,Unlabeled 2807,Unlabeled 2812,Unlabeled 2812,Unlabeled 2812,Unlabeled 2845,Unlabeled 2845,Unlabeled 2845,Unlabeled 2849,Unlabeled 2849,Unlabeled 2849,Unlabeled 2851,Unlabeled 2851,Unlabeled 2851,Unlabeled 2853,Unlabeled 2853,Unlabeled 2853,Unlabeled 2854,Unlabeled 2854,Unlabeled 2854,Unlabeled 2855,Unlabeled 2855,Unlabeled 2855,Unlabeled 2856,Unlabeled 2856,Unlabeled 2856,Unlabeled 2857,Unlabeled 2857,Unlabeled 2857,Unlabeled 2858,Unlabeled 2858,Unlabeled 2858
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","1C047F5C26D7A29011F0","1C047F5C26D7A29011F0","1C047F5C26D7A29011F0","1C067F5C26D7A29011F0","1C067F5C26D7A29011F0","1C067F5C26D7A29011F0","1C227F5C26D7A29011F0","1C227F5C26D7A29011F0","1C227F5C26D7A29011F0","1C257F5C26D7A29011F0","1C257F5C26D7A29011F0","1C257F5C26D7A29011F0","1C2B7F5C26D7A29011F0","1C2B7F5C26D7A29011F0","1C2B7F5C26D7A29011F0","1C2D7F5C26D7A29011F0","1C2D7F5C26D7A29011F0","1C2D7F5C26D7A29011F0","1C317F5C26D7A29011F0","1C317F5C26D7A29011F0","1C317F5C26D7A29011F0","1C387F5C26D7A29011F0","1C387F5C26D7A29011F0","1C387F5C26D7A29011F0","1C3A7F5C26D7A29011F0","1C3A7F5C26D7A29011F0","1C3A7F5C26D7A29011F0","1C8F7F5C26D7A29011F0","1C8F7F5C26D7A29011F0","1C8F7F5C26D7A29011F0","1C977F5C26D7A29011F0","1C977F5C26D7A29011F0","1C977F5C26D7A29011F0","1CE07F5C26D7A29011F0","1CE07F5C26D7A29011F0","1CE07F5C26D7A29011F0","1CF77F5C26D7A29011F0","1CF77F5C26D7A29011F0","1CF77F5C26D7A29011F0","1D027F5C26D7A29011F0","1D027F5C26D7A29011F0","1D027F5C26D7A29011F0","1D0E7F5C26D7A29011F0","1D0E7F5C26D7A29011F0","1D0E7F5C26D7A29011F0","1D167F5C26D7A29011F0","1D167F5C26D7A29011F0","1D167F5C26D7A29011F0","1D177F5C26D7A29011F0","1D177F5C26D7A29011F0","1D177F5C26D7A29011F0","1D1F7F5C26D7A29011F0","1D1F7F5C26D7A29011F0","1D1F7F5C26D7A29011F0","1D447F5C26D7A29011F0","1D447F5C26D7A29011F0","1D447F5C26D7A29011F0","1D497F5C26D7A29011F0","1D497F5C26D7A29011F0","1D497F5C26D7A29011F0","1D4C7F5C26D7A29011F0","1D4C7F5C26D7A29011F0","1D4C7F5C26D7A29011F0","1D537F5C26D7A29011F0","1D537F5C26D7A29011F0","1D537F5C26D7A29011F0","1D577F5C26D7A29011F0","1D577F5C26D7A29011F0","1D577F5C26D7A29011F0","1D587F5C26D7A29011F0","1D587F5C26D7A29011F0","1D587F5C26D7A29011F0","1D597F5C26D7A29011F0","1D597F5C26D7A29011F0","1D597F5C26D7A29011F0","1D5A7F5C26D7A29011F0","1D5A7F5C26D7A29011F0","1D5A7F5C26D7A29011F0","1D5B7F5C26D7A29011F0","1D5B7F5C26D7A29011F0","1D5B7F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,960.785461,-73.374092,5791.488281,-645.988892,891.109375,-5509.286133,-1212.728760,1065.531738,-4858.289551,-645.103333,844.194885,-5527.930664,-2051.646484,1048.856079,-4840.487793,-641.715820,836.432556,-5512.455078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,960.817749,-73.364822,5791.499512,-645.904419,891.612061,-5509.494141,-1211.257446,1064.620728,-4856.990234,-645.058411,844.260559,-5528.061035,-2052.088867,1049.606201,-4844.091309,-641.988403,836.768188,-5512.557617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,960.807068,-73.365906,5791.496582,-645.820557,891.806213,-5509.600098,-1209.785889,1063.193604,-4856.654785,-641.556702,847.136719,-5531.900391,-2052.881104,1050.783813,-4847.356445,-642.079163,836.947876,-5512.644531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,960.792236,-73.361832,5791.505371,-645.792847,891.936035,-5509.666504,-1209.135376,1062.444580,-4856.641113,-641.249634,846.746704,-5532.366211,-2053.411621,1051.636353,-4850.068359,-642.238464,837.119629,-5512.690918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,960.815796,-73.344009,5791.503906,-645.807007,892.073364,-5509.657715,-1208.739624,1062.047119,-4856.975586,-642.839355,844.535034,-5530.212891,-2054.037354,1052.217773,-4851.578125,-642.342834,837.292358,-5512.690918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,960.798950,-73.354881,5791.500977,-645.917297,892.267700,-5509.569336,-1208.217651,1061.817871,-4857.571777,-643.379028,844.252197,-5529.557129,-2054.097412,1052.719482,-4853.032715,-642.429321,837.679382,-5512.674316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.050000,960.794373,-73.357582,5791.500488,-646.042603,892.261536,-5509.371582,-1207.463989,1061.704468,-4859.041016,-643.710266,844.587036,-5529.316406,-2054.411133,1052.925049,-4854.303711,-642.656982,837.655640,-5512.528809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,960.802856,-73.332100,5791.494629,-646.301331,892.423035,-5509.160645,-1206.941406,1061.742065,-4860.366699,-644.058350,844.950134,-5529.061035,-2054.507568,1053.067139,-4854.819336,-642.712463,838.014343,-5512.422852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,960.724060,-73.413391,5791.318359,-646.661316,892.605774,-5508.865234,-1206.245972,1061.940186,-4862.432617,-644.681335,844.805847,-5528.351562,-2054.496338,1053.147827,-4854.766113,-643.128113,838.355042,-5512.191895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,960.782104,-73.354492,5791.495605,-646.951538,892.771179,-5508.530273,-1205.752319,1062.295166,-4864.109375,-645.093262,845.650818,-5528.038086,-2054.401855,1053.213867,-4854.272949,-643.361633,838.521912,-5512.005859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,960.804199,-73.356216,5791.498535,-647.258728,893.023010,-5508.063477,-1205.305908,1062.696289,-4866.583496,-645.963257,846.281006,-5527.488281,-2054.571045,1053.526367,-4853.045410,-643.206421,838.611511,-5511.724121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,960.809082,-73.357658,5791.499512,-647.525818,893.180481,-5507.741699,-1205.316284,1063.567505,-4868.429199,-646.476685,846.524353,-5527.190918,-2054.948486,1054.178101,-4851.839844,-643.391235,838.745728,-5511.466309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,960.730042,-73.405640,5791.299805,-647.731812,893.297363,-5507.464844,-1205.364258,1064.092163,-4871.210449,-646.540466,846.683350,-5527.010742,-2055.014893,1054.196167,-4850.433594,-643.575012,838.915527,-5511.245605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,960.782837,-73.336250,5791.492188,-647.901489,893.363525,-5507.207031,-1204.723755,1064.454590,-4874.034668,-646.532349,846.870667,-5526.760254,-2054.706055,1053.693115,-4848.784180,-643.774292,839.111938,-5510.979980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,960.812561,-73.356354,5791.489258,-648.086426,893.505981,-5506.901367,-1204.780273,1064.777466,-4876.343750,-646.646301,847.069641,-5526.571289,-2054.110352,1052.798584,-4846.815430,-644.003906,839.289673,-5510.761230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,960.807190,-73.364037,5791.479980,-648.248230,893.784302,-5506.560547,-1204.471924,1065.026123,-4878.927246,-646.582825,847.293945,-5526.291504,-2053.736572,1051.639282,-4845.726074,-644.172119,839.466492,-5510.505371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,960.794434,-73.383430,5791.488281,-648.294922,893.939819,-5506.203125,-1204.088745,1065.315063,-4881.396973,-646.616516,847.425720,-5526.023438,-2053.971924,1050.687378,-4843.833008,-644.160156,839.627319,-5510.211914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,960.797607,-73.365921,5791.494629,-648.330139,894.120605,-5505.901855,-1204.380005,1065.673828,-4883.698242,-646.643066,847.559814,-5525.754395,-2053.949707,1050.627441,-4842.359375,-643.976440,839.632751,-5509.975586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,960.788147,-73.371307,5791.483887,-648.373962,894.274414,-5505.595215,-1204.282837,1065.872681,-4886.312012,-646.768372,847.743530,-5525.468262,-2053.861572,1050.507080,-4839.854004,-644.427856,840.060303,-5509.579102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,960.780884,-73.358688,5791.493652,-648.542236,894.601013,-5505.291016,-1204.888794,1066.434692,-4888.225098,-646.820129,847.946228,-5525.211426,-2053.636475,1050.542480,-4838.267090,-644.594604,840.315491,-5509.260254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,960.789368,-73.366364,5791.476562,-648.664368,894.908691,-5504.910645,-1205.282959,1066.710083,-4890.291992,-647.092102,848.545715,-5524.620605,-2054.442627,1050.636475,-4836.421387,-644.498169,840.442993,-5508.883301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,960.800842,-73.384789,5791.490723,-648.723389,895.117310,-5504.555664,-1204.693848,1067.150024,-4892.125488,-647.359314,848.826233,-5524.283203,-2054.033936,1049.876831,-4834.646484,-644.534546,840.661316,-5508.578613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,960.805176,-73.376450,5791.504395,-648.647400,895.507324,-5504.202637,-1204.476318,1067.424927,-4893.729492,-647.197327,848.475891,-5523.829590,-2053.742920,1049.049805,-4833.756348,-644.543457,840.952698,-5508.274414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
