Format Version,1.24,Take Name,Take 2025-10-06 09.58.53 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.58.53.542 AM,Capture Start Frame,112405,Total Frames in Take,1105,Total Exported Frames,1105,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 3184,Unlabeled 3184,Unlabeled 3184,Unlabeled 3185,Unlabeled 3185,Unlabeled 3185,Unlabeled 3186,Unlabeled 3186,Unlabeled 3186,Unlabeled 3187,Unlabeled 3187,Unlabeled 3187,Unlabeled 3188,Unlabeled 3188,Unlabeled 3188,Unlabeled 3189,Unlabeled 3189,Unlabeled 3189,Unlabeled 3258,Unlabeled 3258,Unlabeled 3258,Unlabeled 3264,Unlabeled 3264,Unlabeled 3264,Unlabeled 3266,Unlabeled 3266,Unlabeled 3266,Unlabeled 3268,Unlabeled 3268,Unlabeled 3268,Unlabeled 3269,Unlabeled 3269,Unlabeled 3269,Unlabeled 3270,Unlabeled 3270,Unlabeled 3270
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","1F307F5C26D7A29011F0","1F307F5C26D7A29011F0","1F307F5C26D7A29011F0","1F357F5C26D7A29011F0","1F357F5C26D7A29011F0","1F357F5C26D7A29011F0","1F387F5C26D7A29011F0","1F387F5C26D7A29011F0","1F387F5C26D7A29011F0","1F3A7F5C26D7A29011F0","1F3A7F5C26D7A29011F0","1F3A7F5C26D7A29011F0","1F3B7F5C26D7A29011F0","1F3B7F5C26D7A29011F0","1F3B7F5C26D7A29011F0","1F877F5C26D7A29011F0","1F877F5C26D7A29011F0","1F877F5C26D7A29011F0","1F8D7F5C26D7A29011F0","1F8D7F5C26D7A29011F0","1F8D7F5C26D7A29011F0","1F8F7F5C26D7A29011F0","1F8F7F5C26D7A29011F0","1F8F7F5C26D7A29011F0","1F917F5C26D7A29011F0","1F917F5C26D7A29011F0","1F917F5C26D7A29011F0","1F927F5C26D7A29011F0","1F927F5C26D7A29011F0","1F927F5C26D7A29011F0","1F937F5C26D7A29011F0","1F937F5C26D7A29011F0","1F937F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,960.823242,-73.363129,5791.481934,-2073.386475,797.455078,-5779.507812,-1663.190796,676.992981,-5573.670410,-1593.931152,692.875305,-5406.020996,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,960.838196,-73.356606,5791.493164,-2072.238770,798.117920,-5780.665039,-1662.288940,677.584290,-5574.431152,-1593.713379,692.949646,-5406.416016,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,960.753113,-73.411682,5791.312012,-2071.130615,798.427612,-5781.980469,-1661.355591,677.867920,-5575.353027,-1592.971313,692.870544,-5407.223633,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,960.609924,-73.608208,5791.108887,-2070.283203,798.697083,-5782.913086,-1660.574463,678.347900,-5576.431152,-1592.692261,692.917480,-5407.706543,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,960.828918,-73.324188,5791.498535,-2069.500977,799.329529,-5783.654297,-1659.877563,678.672485,-5577.320312,-1592.445068,693.162720,-5408.585449,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,960.835266,-73.319153,5791.496094,-2068.686523,799.912170,-5784.278320,-1658.934692,678.909302,-5578.161621,-1592.170654,693.147278,-5409.315430,,,,,,,,,,,,,,,,,,,,,,,,
6,0.050000,960.834656,-73.326584,5791.490234,-2068.004883,800.218872,-5785.242188,-1657.979980,679.244568,-5579.029785,-1591.357910,693.149170,-5410.145996,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,960.823792,-73.330521,5791.495605,-2067.510498,800.675110,-5785.843262,-1657.360718,679.367493,-5579.898926,-1591.153809,693.294556,-5410.758301,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,960.820190,-73.326202,5791.479980,-2066.835938,801.457458,-5786.123535,-1656.884033,679.574280,-5580.922363,-1591.140991,693.404602,-5411.407715,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,960.820068,-73.327545,5791.481934,-2066.442383,802.058960,-5786.326172,-1656.276245,679.305420,-5581.887207,-1590.981689,693.704590,-5412.471191,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,960.841187,-73.333755,5791.491211,-2066.101807,802.622498,-5786.430176,-1655.700317,679.324646,-5583.064453,-1591.156982,693.977905,-5413.466797,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,960.839600,-73.335846,5791.491211,-2065.273193,803.363037,-5786.238281,-1655.306152,678.901794,-5584.109375,-1590.919434,693.968079,-5414.437500,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,960.746338,-73.420822,5791.320312,-2065.060303,804.041626,-5785.973145,-1654.933350,678.517151,-5585.197266,-1591.635498,694.510132,-5414.953125,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,960.821289,-73.338623,5791.485840,-2065.112061,804.959839,-5785.531250,-1654.508301,677.968140,-5586.359863,-1591.847900,694.950256,-5416.337402,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,960.818970,-73.348801,5791.500977,-2064.372070,805.722107,-5784.831055,-1654.036377,677.464966,-5587.708984,-1591.729614,695.254578,-5417.156738,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,960.762085,-73.387131,5791.310059,-2064.159668,806.285645,-5784.186035,-1653.790039,677.193359,-5589.021484,-1592.072876,695.340088,-5418.024902,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,960.832886,-73.345718,5791.489258,-2063.490234,806.998962,-5783.240723,-1653.655518,676.913086,-5590.152344,-1592.969849,696.116577,-5418.910645,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,960.841064,-73.318520,5791.494629,-2063.131104,807.534973,-5782.292480,-1653.859253,676.734192,-5591.170410,-1593.328003,696.184204,-5419.759277,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,960.825989,-73.355751,5791.473633,-2062.607666,808.400146,-5780.659180,-1654.039795,676.456299,-5592.002930,-1593.157837,696.289185,-5420.926758,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,960.835144,-73.341286,5791.482910,-2062.153809,808.931824,-5779.261230,-1654.220337,676.247498,-5592.776855,-1593.092407,696.285889,-5421.940918,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,960.832336,-73.341217,5791.484375,-2061.321045,809.850830,-5777.562500,-1654.918457,676.286316,-5593.576172,-1592.976074,696.322449,-5422.939941,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,960.840393,-73.327858,5791.484375,-2061.428711,811.061279,-5775.605957,-1655.723022,676.347107,-5594.262207,-1593.130737,696.270813,-5423.646484,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,960.849670,-73.320862,5791.471191,-2060.720215,811.919434,-5773.449707,-1656.114380,676.341248,-5594.916992,-1592.903076,696.184814,-5424.692871,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,960.827087,-73.333733,5791.481445,-2059.880615,812.786133,-5770.919434,-1656.434204,676.306580,-5595.495605,-1592.435059,695.481689,-5425.525879,,,,,,,,,,,,,,,,,,,,,,,,
