Format Version,1.24,Take Name,Take 2025-10-06 09.59.46 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 09.59.46.167 AM,Capture Start Frame,118720,Total Frames in Take,1787,Total Exported Frames,1787,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 3466,Unlabeled 3466,Unlabeled 3466,Unlabeled 3467,Unlabeled 3467,Unlabeled 3467,Unlabeled 3468,Unlabeled 3468,Unlabeled 3468,Unlabeled 3469,Unlabeled 3469,Unlabeled 3469,Unlabeled 3542,Unlabeled 3542,Unlabeled 3542,Unlabeled 3556,Unlabeled 3556,Unlabeled 3556,Unlabeled 3559,Unlabeled 3559,Unlabeled 3559,Unlabeled 3563,Unlabeled 3563,Unlabeled 3563,Unlabeled 3564,Unlabeled 3564,Unlabeled 3564,Unlabeled 3566,Unlabeled 3566,Unlabeled 3566,Unlabeled 3567,Unlabeled 3567,Unlabeled 3567,Unlabeled 3568,Unlabeled 3568,Unlabeled 3568,Unlabeled 3569,Unlabeled 3569,Unlabeled 3569,Unlabeled 3570,Unlabeled 3570,Unlabeled 3570,Unlabeled 3571,Unlabeled 3571,Unlabeled 3571,Unlabeled 3572,Unlabeled 3572,Unlabeled 3572,Unlabeled 3573,Unlabeled 3573,Unlabeled 3573,Unlabeled 3574,Unlabeled 3574,Unlabeled 3574,Unlabeled 3575,Unlabeled 3575,Unlabeled 3575,Unlabeled 3576,Unlabeled 3576,Unlabeled 3576,Unlabeled 3577,Unlabeled 3577,Unlabeled 3577,Unlabeled 3578,Unlabeled 3578,Unlabeled 3578,Unlabeled 3579,Unlabeled 3579,Unlabeled 3579
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","20B97F5C26D7A29011F0","20B97F5C26D7A29011F0","20B97F5C26D7A29011F0","20BA7F5C26D7A29011F0","20BA7F5C26D7A29011F0","20BA7F5C26D7A29011F0","20BB7F5C26D7A29011F0","20BB7F5C26D7A29011F0","20BB7F5C26D7A29011F0","21087F5C26D7A29011F0","21087F5C26D7A29011F0","21087F5C26D7A29011F0","21167F5C26D7A29011F0","21167F5C26D7A29011F0","21167F5C26D7A29011F0","211B7F5C26D7A29011F0","211B7F5C26D7A29011F0","211B7F5C26D7A29011F0","21207F5C26D7A29011F0","21207F5C26D7A29011F0","21207F5C26D7A29011F0","21217F5C26D7A29011F0","21217F5C26D7A29011F0","21217F5C26D7A29011F0","21237F5C26D7A29011F0","21237F5C26D7A29011F0","21237F5C26D7A29011F0","21247F5C26D7A29011F0","21247F5C26D7A29011F0","21247F5C26D7A29011F0","21257F5C26D7A29011F0","21257F5C26D7A29011F0","21257F5C26D7A29011F0","21267F5C26D7A29011F0","21267F5C26D7A29011F0","21267F5C26D7A29011F0","21277F5C26D7A29011F0","21277F5C26D7A29011F0","21277F5C26D7A29011F0","21287F5C26D7A29011F0","21287F5C26D7A29011F0","21287F5C26D7A29011F0","21297F5C26D7A29011F0","21297F5C26D7A29011F0","21297F5C26D7A29011F0","212A7F5C26D7A29011F0","212A7F5C26D7A29011F0","212A7F5C26D7A29011F0","212B7F5C26D7A29011F0","212B7F5C26D7A29011F0","212B7F5C26D7A29011F0","212C7F5C26D7A29011F0","212C7F5C26D7A29011F0","212C7F5C26D7A29011F0","212D7F5C26D7A29011F0","212D7F5C26D7A29011F0","212D7F5C26D7A29011F0","212E7F5C26D7A29011F0","212E7F5C26D7A29011F0","212E7F5C26D7A29011F0","212F7F5C26D7A29011F0","212F7F5C26D7A29011F0","212F7F5C26D7A29011F0","21307F5C26D7A29011F0","21307F5C26D7A29011F0","21307F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,960.819458,-73.337341,5791.497559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,960.818604,-73.340485,5791.507324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,960.805298,-73.325874,5791.493652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,960.805237,-73.326530,5791.504395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,960.799133,-73.350395,5791.485840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,960.832336,-73.309433,5791.482422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
