Format Version,1.24,Take Name,Take 2025-10-06 10.00.04 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-10-06 10.00.04.992 AM,Capture Start Frame,120979,Total Frames in Take,1252,Total Exported Frames,1252,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 3580,Unlabeled 3580,Unlabeled 3580,Unlabeled 3581,Unlabeled 3581,Unlabeled 3581,Unlabeled 3582,Unlabeled 3582,Unlabeled 3582,Unlabeled 3583,Unlabeled 3583,Unlabeled 3583,Unlabeled 3584,Unlabeled 3584,Unlabeled 3584,Unlabeled 3585,Unlabeled 3585,Unlabeled 3585,Unlabeled 3586,Unlabeled 3586,Unlabeled 3586,Unlabeled 3587,Unlabeled 3587,Unlabeled 3587,Unlabeled 3588,Unlabeled 3588,Unlabeled 3588,Unlabeled 3607,Unlabeled 3607,Unlabeled 3607,Unlabeled 3663,Unlabeled 3663,Unlabeled 3663,Unlabeled 3705,Unlabeled 3705,Unlabeled 3705,Unlabeled 3706,Unlabeled 3706,Unlabeled 3706,Unlabeled 3720,Unlabeled 3720,Unlabeled 3720,Unlabeled 3722,Unlabeled 3722,Unlabeled 3722,Unlabeled 3725,Unlabeled 3725,Unlabeled 3725,Unlabeled 3737,Unlabeled 3737,Unlabeled 3737,Unlabeled 3752,Unlabeled 3752,Unlabeled 3752,Unlabeled 3760,Unlabeled 3760,Unlabeled 3760,Unlabeled 3809,Unlabeled 3809,Unlabeled 3809,Unlabeled 3822,Unlabeled 3822,Unlabeled 3822,Unlabeled 4032,Unlabeled 4032,Unlabeled 4032,Unlabeled 4033,Unlabeled 4033,Unlabeled 4033,Unlabeled 4034,Unlabeled 4034,Unlabeled 4034,Unlabeled 4035,Unlabeled 4035,Unlabeled 4035,Unlabeled 4037,Unlabeled 4037,Unlabeled 4037,Unlabeled 4038,Unlabeled 4038,Unlabeled 4038,Unlabeled 4039,Unlabeled 4039,Unlabeled 4039,Unlabeled 4042,Unlabeled 4042,Unlabeled 4042,Unlabeled 4043,Unlabeled 4043,Unlabeled 4043,Unlabeled 4044,Unlabeled 4044,Unlabeled 4044,Unlabeled 4045,Unlabeled 4045,Unlabeled 4045,Unlabeled 4046,Unlabeled 4046,Unlabeled 4046,Unlabeled 4047,Unlabeled 4047,Unlabeled 4047,Unlabeled 4048,Unlabeled 4048,Unlabeled 4048,Unlabeled 4049,Unlabeled 4049,Unlabeled 4049,Unlabeled 4051,Unlabeled 4051,Unlabeled 4051,Unlabeled 4052,Unlabeled 4052,Unlabeled 4052,Unlabeled 4053,Unlabeled 4053,Unlabeled 4053,Unlabeled 4054,Unlabeled 4054,Unlabeled 4054,Unlabeled 4055,Unlabeled 4055,Unlabeled 4055,Unlabeled 4056,Unlabeled 4056,Unlabeled 4056,Unlabeled 4057,Unlabeled 4057,Unlabeled 4057,Unlabeled 4058,Unlabeled 4058,Unlabeled 4058,Unlabeled 4060,Unlabeled 4060,Unlabeled 4060,Unlabeled 4061,Unlabeled 4061,Unlabeled 4061,Unlabeled 4062,Unlabeled 4062,Unlabeled 4062,Unlabeled 4069,Unlabeled 4069,Unlabeled 4069,Unlabeled 4070,Unlabeled 4070,Unlabeled 4070,Unlabeled 4071,Unlabeled 4071,Unlabeled 4071,Unlabeled 4072,Unlabeled 4072,Unlabeled 4072,Unlabeled 4073,Unlabeled 4073,Unlabeled 4073,Unlabeled 4074,Unlabeled 4074,Unlabeled 4074,Unlabeled 4075,Unlabeled 4075,Unlabeled 4075,Unlabeled 4076,Unlabeled 4076,Unlabeled 4076,Unlabeled 4077,Unlabeled 4077,Unlabeled 4077,Unlabeled 4078,Unlabeled 4078,Unlabeled 4078,Unlabeled 4079,Unlabeled 4079,Unlabeled 4079,Unlabeled 4080,Unlabeled 4080,Unlabeled 4080,Unlabeled 4081,Unlabeled 4081,Unlabeled 4081,Unlabeled 4086,Unlabeled 4086,Unlabeled 4086,Unlabeled 4087,Unlabeled 4087,Unlabeled 4087,Unlabeled 4088,Unlabeled 4088,Unlabeled 4088,Unlabeled 4089,Unlabeled 4089,Unlabeled 4089
,ID,"6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","6A7F5C26D7A29011F0","21297F5C26D7A29011F0","21297F5C26D7A29011F0","21297F5C26D7A29011F0","212D7F5C26D7A29011F0","212D7F5C26D7A29011F0","212D7F5C26D7A29011F0","21377F5C26D7A29011F0","21377F5C26D7A29011F0","21377F5C26D7A29011F0","21397F5C26D7A29011F0","21397F5C26D7A29011F0","21397F5C26D7A29011F0","213E7F5C26D7A29011F0","213E7F5C26D7A29011F0","213E7F5C26D7A29011F0","213F7F5C26D7A29011F0","213F7F5C26D7A29011F0","213F7F5C26D7A29011F0","21407F5C26D7A29011F0","21407F5C26D7A29011F0","21407F5C26D7A29011F0","21417F5C26D7A29011F0","21417F5C26D7A29011F0","21417F5C26D7A29011F0","21547F5C26D7A29011F0","21547F5C26D7A29011F0","21547F5C26D7A29011F0","21947F5C26D7A29011F0","21947F5C26D7A29011F0","21947F5C26D7A29011F0","21C77F5C26D7A29011F0","21C77F5C26D7A29011F0","21C77F5C26D7A29011F0","21C87F5C26D7A29011F0","21C87F5C26D7A29011F0","21C87F5C26D7A29011F0","21D67F5C26D7A29011F0","21D67F5C26D7A29011F0","21D67F5C26D7A29011F0","21D87F5C26D7A29011F0","21D87F5C26D7A29011F0","21D87F5C26D7A29011F0","21DB7F5C26D7A29011F0","21DB7F5C26D7A29011F0","21DB7F5C26D7A29011F0","21E77F5C26D7A29011F0","21E77F5C26D7A29011F0","21E77F5C26D7A29011F0","21F77F5C26D7A29011F0","21F77F5C26D7A29011F0","21F77F5C26D7A29011F0","21FF7F5C26D7A29011F0","21FF7F5C26D7A29011F0","21FF7F5C26D7A29011F0","22377F5C26D7A29011F0","22377F5C26D7A29011F0","22377F5C26D7A29011F0","22467F5C26D7A29011F0","22467F5C26D7A29011F0","22467F5C26D7A29011F0","232B7F5C26D7A29011F0","232B7F5C26D7A29011F0","232B7F5C26D7A29011F0","232C7F5C26D7A29011F0","232C7F5C26D7A29011F0","232C7F5C26D7A29011F0","232F7F5C26D7A29011F0","232F7F5C26D7A29011F0","232F7F5C26D7A29011F0","23307F5C26D7A29011F0","23307F5C26D7A29011F0","23307F5C26D7A29011F0","23327F5C26D7A29011F0","23327F5C26D7A29011F0","23327F5C26D7A29011F0","23337F5C26D7A29011F0","23337F5C26D7A29011F0","23337F5C26D7A29011F0","23357F5C26D7A29011F0","23357F5C26D7A29011F0","23357F5C26D7A29011F0","23387F5C26D7A29011F0","23387F5C26D7A29011F0","23387F5C26D7A29011F0","23397F5C26D7A29011F0","23397F5C26D7A29011F0","23397F5C26D7A29011F0","233A7F5C26D7A29011F0","233A7F5C26D7A29011F0","233A7F5C26D7A29011F0","233B7F5C26D7A29011F0","233B7F5C26D7A29011F0","233B7F5C26D7A29011F0","233C7F5C26D7A29011F0","233C7F5C26D7A29011F0","233C7F5C26D7A29011F0","233F7F5C26D7A29011F0","233F7F5C26D7A29011F0","233F7F5C26D7A29011F0","23407F5C26D7A29011F0","23407F5C26D7A29011F0","23407F5C26D7A29011F0","23417F5C26D7A29011F0","23417F5C26D7A29011F0","23417F5C26D7A29011F0","23447F5C26D7A29011F0","23447F5C26D7A29011F0","23447F5C26D7A29011F0","23457F5C26D7A29011F0","23457F5C26D7A29011F0","23457F5C26D7A29011F0","23467F5C26D7A29011F0","23467F5C26D7A29011F0","23467F5C26D7A29011F0","23477F5C26D7A29011F0","23477F5C26D7A29011F0","23477F5C26D7A29011F0","23497F5C26D7A29011F0","23497F5C26D7A29011F0","23497F5C26D7A29011F0","234A7F5C26D7A29011F0","234A7F5C26D7A29011F0","234A7F5C26D7A29011F0","234C7F5C26D7A29011F0","234C7F5C26D7A29011F0","234C7F5C26D7A29011F0","234D7F5C26D7A29011F0","234D7F5C26D7A29011F0","234D7F5C26D7A29011F0","23517F5C26D7A29011F0","23517F5C26D7A29011F0","23517F5C26D7A29011F0","23527F5C26D7A29011F0","23527F5C26D7A29011F0","23527F5C26D7A29011F0","23537F5C26D7A29011F0","23537F5C26D7A29011F0","23537F5C26D7A29011F0","235A7F5C26D7A29011F0","235A7F5C26D7A29011F0","235A7F5C26D7A29011F0","235D7F5C26D7A29011F0","235D7F5C26D7A29011F0","235D7F5C26D7A29011F0","235E7F5C26D7A29011F0","235E7F5C26D7A29011F0","235E7F5C26D7A29011F0","235F7F5C26D7A29011F0","235F7F5C26D7A29011F0","235F7F5C26D7A29011F0","23607F5C26D7A29011F0","23607F5C26D7A29011F0","23607F5C26D7A29011F0","23617F5C26D7A29011F0","23617F5C26D7A29011F0","23617F5C26D7A29011F0","23627F5C26D7A29011F0","23627F5C26D7A29011F0","23627F5C26D7A29011F0","23637F5C26D7A29011F0","23637F5C26D7A29011F0","23637F5C26D7A29011F0","23647F5C26D7A29011F0","23647F5C26D7A29011F0","23647F5C26D7A29011F0","23657F5C26D7A29011F0","23657F5C26D7A29011F0","23657F5C26D7A29011F0","23667F5C26D7A29011F0","23667F5C26D7A29011F0","23667F5C26D7A29011F0","23677F5C26D7A29011F0","23677F5C26D7A29011F0","23677F5C26D7A29011F0","23687F5C26D7A29011F0","23687F5C26D7A29011F0","23687F5C26D7A29011F0","236D7F5C26D7A29011F0","236D7F5C26D7A29011F0","236D7F5C26D7A29011F0","236E7F5C26D7A29011F0","236E7F5C26D7A29011F0","236E7F5C26D7A29011F0","23717F5C26D7A29011F0","23717F5C26D7A29011F0","23717F5C26D7A29011F0","23757F5C26D7A29011F0","23757F5C26D7A29011F0","23757F5C26D7A29011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,960.740479,-73.369202,5791.323242,-1071.077148,1050.525635,-5544.207520,2.970493,-609.316406,-6688.806152,-733.166687,-574.916870,-5548.156738,-2363.477051,487.698975,-5981.966797,-1085.766235,1007.219421,-5543.428711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,960.603577,-73.565865,5791.136719,-1072.902954,1050.760620,-5537.038086,2.942778,-609.321838,-6688.800293,-733.122314,-574.931580,-5548.115234,-2365.339111,487.202209,-5981.618164,-1086.322021,1008.125305,-5536.791992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,960.788391,-73.338905,5791.493652,-1074.717896,1050.918579,-5530.043457,2.910802,-609.342957,-6688.799316,-733.123169,-574.966858,-5548.094727,-2367.236328,486.677155,-5981.289062,-1092.547974,1006.951782,-5531.113770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,960.801392,-73.347969,5791.513184,-1075.535767,1049.974243,-5523.229980,2.903038,-609.354675,-6688.793457,-733.061157,-575.009399,-5548.080078,-2369.091309,486.018341,-5981.187988,-1089.878052,1007.891296,-5524.871094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,960.805237,-73.331955,5791.477051,-1077.189087,1050.070923,-5517.035645,2.867714,-609.409424,-6688.797363,-733.035217,-574.993347,-5548.064941,-2370.811523,485.345215,-5981.211426,-1092.823242,1007.133118,-5519.239746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,960.817261,-73.334114,5791.503906,-1078.724609,1049.998291,-5511.349609,2.895891,-609.382141,-6688.787109,-732.993103,-574.994141,-5548.047852,-2372.406006,484.884277,-5981.079590,-1094.184814,1007.049194,-5514.004883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
